Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
ES Sharks	S9	KR	11	36.4%	0.83	1757	-57	36:32	10.5	12.5	5.2	7.2	45.5	27.3	2.27	44.0	-	0.55	54.5	0.45	-0.2	-1023	-	0.45	36.7	34.0	1782	3.4	1.22	1.66
Esports Academy	S9	PL	15	20.0%	0.76	1666	-267	33:07	12.4	16.4	3.1	9.0	40.0	40.0	2.07	43.9	-	0.40	40.0	0.80	-0.6	-1353	-	0.47	24.4	29.3	1668	2.9	1.07	1.12
eSuba	S9	CZ	49	75.5%	1.35	1915	233	30:15	15.8	11.7	8.0	3.1	71.4	79.6	2.78	72.2	-	0.80	79.6	1.20	1.0	2074	-	0.82	71.0	32.7	1978	3.1	1.21	1.23
EVOS Esports	S9	VN	77	53.2%	1.01	1841	9	32:45	13.6	13.4	6.1	6.2	48.1	33.8	2.14	49.7	-	0.42	42.7	0.79	-0.3	-27	-	0.75	56.0	33.5	1757	3.5	1.34	1.41
Excel eSports	S9	EUW	36	25.0%	0.71	1703	-195	32:46	10.0	14.1	4.5	7.5	38.9	50.0	1.72	43.3	-	0.67	66.7	0.67	-0.4	-1048	-	0.61	37.7	31.4	1565	3.5	1.39	1.32
Excel UK	S9	UK	27	66.7%	1.26	1849	145	33:27	13.9	11.0	7.7	4.6	40.7	66.7	2.26	50.0	-	0.33	33.3	0.81	0.6	864	-	0.78	66.0	32.2	1958	3.3	1.24	1.38
eXtatus	S9	CZ	27	33.3%	0.73	1676	-211	31:04	10.6	14.5	3.6	7.9	29.6	22.2	1.59	36.4	-	0.30	29.6	0.63	-1.0	-1919	-	0.52	32.0	30.8	1700	2.8	0.96	1.02
FALKN	S9	EUW	6	16.7%	0.62	1674	-295	30:01	11.8	19.0	2.7	8.5	66.7	16.7	1.33	36.1	-	0.33	33.3	0.67	-1.0	-2950	-	0.50	25.0	30.3	1588	2.9	1.24	1.03
FC Schalke 04	S9	EUW	51	51.0%	1.16	1809	-7	32:47	13.4	11.5	5.9	6.1	43.1	49.0	1.94	47.7	-	0.45	46.0	0.75	-0.3	-436	-	0.82	55.1	32.8	1794	3.5	1.26	1.45
Flamengo eSports	S9	BR	63	76.2%	1.28	1883	171	32:26	14.2	11.0	8.2	3.9	65.1	63.5	2.78	67.2	-	0.67	66.7	1.13	0.4	1286	-	0.98	75.8	33.0	1859	3.6	1.26	1.40
Flash Wolves	S9	TW	89	48.3%	1.08	1794	-2	33:39	12.3	11.4	5.6	6.0	46.1	49.4	1.90	44.3	-	0.54	54.5	0.75	0.0	54	-	0.71	51.3	33.2	1691	3.7	1.36	1.54
