Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
DAN Gaming	S7	CN	38	36.8%	0.70	1728	-131	35:37	10.0	14.2	5.2	7.4	-	-	1.63	42.8	-	-	-	-	-	-	-	-	-	30.8	-	-	-	-
Dark Passage	S7	WC	3	0.0%	0.20	1453	-740	23:27	5.3	27.0	0.3	8.7	66.7	-	0.00	0.0	-	0.00	-	0.00	-1.7	-5007	-	0.00	-	26.1	1613	2.6	0.56	0.55
Delta Fox	S7	NA	33	18.2%	0.62	1664	-280	34:13	11.1	18.0	3.7	8.7	27.3	30.3	1.00	24.9	-	0.21	28.0	0.24	-1.5	-3062	-	0.39	19.1	29.3	1784	2.9	0.63	0.94
Detonation FocusMe	S7	JP	3	100.0%	2.54	2041	435	37:02	20.3	8.0	10.7	1.3	66.7	33.3	3.33	91.7	-	0.33	50.0	0.00	1.5	2360	-	1.00	100.0	32.8	1936	3.7	1.16	1.55
Dignitas	S7	NA	112	49.1%	0.95	1764	-14	36:13	11.7	12.2	6.1	6.6	39.3	46.4	1.92	50.9	-	0.28	46.3	0.51	-0.3	-420	-	0.80	48.9	30.6	1832	3.5	0.96	1.27
Dire Wolves	S7	OCE	14	28.6%	0.82	1754	-120	32:00	11.1	13.6	4.4	7.9	50.0	42.9	1.21	39.9	-	0.36	62.5	0.21	-0.5	-131	-	0.50	34.5	31.6	1854	3.2	0.87	1.11
Echo Fox	S7	NA	86	36.0%	0.81	1732	-108	36:20	11.7	14.4	5.8	7.3	57.0	39.5	1.67	44.4	-	0.23	51.3	0.48	-0.1	141	-	0.65	37.1	30.6	1922	3.5	1.04	1.17
Edward Gaming	S7	CN	107	61.7%	1.29	1845	113	35:35	14.1	10.9	7.5	5.1	5.6	5.6	2.13	60.6	-	0.05	62.5	0.50	0.9	559	-	0.08	47.7	30.8	2031	3.7	1.31	1.35
eUnited	S7	NA	65	60.0%	1.14	1834	88	34:37	14.0	12.2	6.9	5.2	56.9	44.6	1.60	53.3	-	0.28	50.0	0.42	0.1	206	-	0.78	57.4	31.4	2114	3.3	0.91	1.20
Ever8 Winners	S7	KR	47	27.7%	0.74	1698	-176	35:32	8.5	11.5	4.5	7.9	44.7	36.2	1.11	33.0	-	0.49	56.1	0.17	-0.9	-1279	-	0.64	35.9	32.5	1593	3.8	1.21	1.36
eXtreme Gamers	S7	TW	31	19.4%	0.61	1585	-300	36:31	7.7	12.7	3.5	8.4	25.8	25.8	1.19	28.7	-	0.00	0.0	0.17	-0.4	-1534	-	0.35	18.8	29.7	1479	3.7	1.01	1.12
