,,,,,,,,,,,,,,,,,,,,
Player,Team,POS,M,G,W,L,K,D,A,KDA,KP%,KS%,CS,CSM,GLD%,DPM,FB,DTH%,WPM,WCPM
Insulator,FunPlus Phoenix,MID,4,4,2,2,17,18,24,2.3,62.1,25.8,1163,8.0,21.7,458.5,0,23.4,0.32,0.31
Kepler,Shu Dai Xiong Gaming,ADC,4,4,1,3,17,14,14,2.2,63.3,34.7,961,9.3,24.3,471.1,1,17.7,0.32,0.40
Kingen,Bilibili Gaming,TOP,4,7,3,4,17,19,21,2.0,49.4,22.1,1671,7.9,13.8,208.9,1,22.9,0.27,0.15
ppgod,Victory Five,SUP,9,12,8,4,17,29,98,4.0,68.9,10.2,434,1.2,14.0,158.5,1,22.7,1.72,0.52
SofM,Suning,JNG,5,7,1,6,17,31,32,1.6,61.3,21.3,1403,6.1,20.2,386.3,2,24.4,0.94,0.59
Ben,Topsports Gaming,SUP,4,9,6,3,16,21,94,5.2,71.0,10.3,443,1.5,17.1,0.0,0,20.0,0.00,0.00
Cryin,Royal Never Give Up,MID,4,4,2,2,16,10,44,6.0,75.0,20.0,923,7.0,20.3,563.8,1,13.7,0.46,0.12
demon,Bilibili Gaming,TOP,4,4,3,1,16,13,26,3.2,57.5,21.9,827,6.1,19.3,519.7,1,27.7,0.39,0.19
Forge,Rogue Warriors,MID,4,4,3,1,16,8,25,5.1,54.7,21.3,951,8.3,21.6,454.5,0,19.0,0.40,0.19
frigid,FunPlus Phoenix,JNG,4,4,2,2,16,14,36,3.7,73.2,22.5,635,5.0,18.1,266.0,0,17.9,0.44,0.40
Gori,EDward Gaming,MID,4,4,3,1,16,3,31,15.7,56.6,19.3,1028,8.5,21.1,536.0,0,10.0,0.40,0.28
iBoy,Rare Atom,ADC,5,5,3,2,16,14,26,3.0,64.6,24.6,1329,8.7,23.9,527.6,1,21.2,0.24,0.37
Kepler,LGD Gaming,ADC,2,2,1,1,16,10,10,2.6,55.3,34.0,468,8.1,22.7,664.5,0,29.4,0.35,0.41
LangX,Victory Five,TOP,5,8,5,3,16,14,44,4.3,55.6,14.8,2076,7.9,21.3,389.9,0,16.3,0.37,0.21
View,WE,JNG,4,4,3,1,16,6,18,5.7,68.0,32.0,122,1.1,21.0,386.1,2,14.0,0.36,0.30
Cube,OMG,TOP,4,4,2,2,15,17,16,1.8,41.9,20.3,867,7.6,19.5,641.3,3,30.9,0.46,0.10
FoFo,WE,MID,3,3,2,1,15,6,20,5.8,81.4,34.9,992,9.9,26.0,974.6,0,13.6,0.29,0.25
Puff,TT,ADC,4,4,1,3,15,8,14,3.6,67.4,34.9,1011,8.9,24.2,558.5,0,16.0,0.31,0.44
Uzi,Royal Never Give Up,ADC,3,6,2,4,15,17,27,2.5,65.6,23.4,2108,10.2,24.4,148.3,0,17.3,0.12,0.14
Wayward,WE,TOP,3,3,2,1,15,9,13,3.1,65.1,34.9,846,8.5,22.7,777.7,0,20.5,0.52,0.12
Asura,Li-Ning Gaming,ADC,4,4,2,2,14,6,20,5.7,77.3,31.8,1088,9.0,25.0,376.5,0,18.2,0.37,0.31
Baolan,Invictus Gaming,SUP,10,21,11,10,14,64,182,3.1,74.8,5.3,671,1.0,14.0,13.6,0,20.6,0.15,0.05
bless,TT,JNG,4,4,1,3,14,15,20,2.3,70.8,29.2,830,6.1,20.1,209.1,0,21.7,0.15,0.26
